run,time
847,4776447
848,4875052
849,4763946
850,4520157
851,4825696
852,4948972
853,4707528
854,4697108
855,4551091
856,4769511
857,4733891
858,4507301
859,4576930
860,4695996
861,4579568
862,4752269
863,4791974
864,5168522
865,5559655
866,4942731
867,4787953
868,4825252
869,4710173
870,5101280
871,6049974
872,4902850
873,4861706
874,4874250
875,4832492
876,4916780
877,5146589
878,5047626
879,5101777
880,5102789
881,4944538
882,5482324
883,4800039
884,4641012
885,4869009
886,4793714
887,4840457
888,5327650
889,4985521
890,4769008
891,5134827
892,4813875
893,4832910
894,4805613
895,4691030
896,4695886
897,4657681
898,4667508
899,4703300
900,5010715
901,4707476
902,4937493
903,4832756
904,4865785
905,4833027
906,7247524
907,4924113
908,4988403
909,4877038
910,4834832
911,4987965
912,4832071
913,4910587
914,5108774
915,5087406
916,5131112
917,4787125
918,4827633
919,4937734
920,5196687
921,5002007
922,6122497
923,4824782
924,4716243
925,5278751
926,4749325
927,4730248
928,4607863
929,5436663
930,4593577
931,4472465
932,4582694
933,4464884
934,4764778
935,4910113
936,4595859
937,4638995
938,6904202
939,4814108
940,4750394
941,4749142
942,5847993
943,4835617
944,4968804
945,5271475
946,4918114
947,5224179
948,6331775
949,4790246
950,4820390
951,4921703
952,5002210
953,5326575
954,6464438
955,5075305
956,5136261
957,5180768
958,5025343
959,4858792
960,4710627
961,4680390
962,5300441
963,4806081
964,4781588
965,5056739
966,4992879
967,4620850
968,4729749
969,4764965
970,6150119
971,4621663
972,5305798
973,4739010
974,4931548
975,4680139
976,4756819
977,6006632
978,4993150
979,4837352
980,4766281
981,4779671
982,5038360
983,5019247
984,5000324
985,5016788
986,7725200
987,4845810
988,4765484
989,5096107
990,6104289
991,4814807
992,4880670
